10
256,4,4,4,4,4,4,4,4,3
0.085166,-0.015396,0.205513,-0.015362
-0.099170,0.049894,-0.088839,0.029784
-0.044159,-0.025842,0.137853,0.135711
-0.014554,0.004582,-0.108362,0.031243
-0.061137,0.064533,0.144658,-0.069331
-0.086369,0.033846,-0.172306,0.004119
0.080191,-0.077579,-0.038360,0.019391
-0.063368,0.034962,-0.056571,0.031005
0.016558,0.111305,0.064356,-0.061808
0.096444,-0.183926,0.010682,-0.000842
0.008743,-0.010653,-0.005415,0.047478
0.032560,0.138474,-0.030002,-0.015157
0.104360,-0.191345,-0.069259,0.001546
-0.010983,0.157949,0.108608,0.098099
0.064922,-0.139873,-0.095653,-0.105340
0.065377,0.181559,0.225986,-0.124717
0.138427,0.004443,0.109366,0.138790
-0.047818,0.083433,-0.005427,-0.210201
-0.039534,-0.079940,-0.072016,0.077878
-0.079981,0.090400,-0.072871,-0.018685
0.052455,-0.032098,-0.037574,0.026535
-0.076011,-0.025519,-0.052293,0.008553
0.001912,0.079972,0.067183,-0.017007
-0.112012,-0.024628,-0.097208,0.015252
0.067266,-0.056994,-0.048703,-0.009139
-0.009359,0.003392,-0.038503,0.028421
0.031375,-0.006000,-0.023739,-0.074379
-0.099690,0.001360,-0.099571,0.032441
0.035625,0.095032,0.004697,0.014513
-0.056872,-0.094267,-0.026434,0.012832
0.055818,-0.012455,0.056417,-0.073415
0.077735,-0.146282,0.108467,0.122727
0.092643,0.018224,0.003806,-0.049930
-0.037997,0.069307,0.007179,-0.033672
-0.070391,-0.013416,-0.049898,0.017590
0.019542,0.024778,-0.021820,0.003572
0.013130,0.021045,0.092527,-0.044440
-0.093228,0.061784,-0.022570,0.047571
-0.007708,-0.087276,-0.177282,-0.072994
0.009381,0.045682,0.024766,0.039368
0.033945,0.066918,0.061873,-0.043255
-0.099912,-0.026500,-0.079658,0.187962
-0.013910,-0.230822,-0.168992,-0.107694
0.007827,0.062917,-0.068132,0.040405
0.102984,-0.051547,0.049528,0.013563
-0.165838,0.039530,-0.110860,-0.040416
-0.021040,-0.177274,-0.017367,0.115526
